Código;Grupo/Família (Abrev.);Nome do produto;Unidade;Preco_Unit;Cobre_kg;PVC_kg;Skin_kg;Embalagem_kg;Peso_Total_kg
F273B;CEL-FLEX 6,0MM;CABO ELETRICO FLEX ATOX 6,0MM VERMELHO 450/750V MAXFIO METRO (BOBINA);M;3.1864;4.8;2.236;0.0;0.0133;7.0493
F273B;CEL-FLEX 6,0MM;CABO ELETRICO FLEX ATOX 6,0MM VERMELHO 450/750V MAXFIO METRO (BOBINA);M;3.1864;2.97;2.35;0.0;0.019;5.339
F273B;CEL-FLEX 6,0MM;CABO ELETRICO FLEX ATOX 6,0MM VERMELHO 450/750V MAXFIO METRO (BOBINA);M;3.1864;3.08;2.3;0.0;0.019;5.399
F274B;CEL-FLEX 6,0MM;CABO ELETRICO FLEX ATOX 6,0MM PRETO 450/750V MAXFIO METRO (BOBINA);M;3.1864;4.8;2.236;0.0;0.0133;7.0493
F274B;CEL-FLEX 6,0MM;CABO ELETRICO FLEX ATOX 6,0MM PRETO 450/750V MAXFIO METRO (BOBINA);M;3.1864;2.97;2.35;0.0;0.019;5.339
F274B;CEL-FLEX 6,0MM;CABO ELETRICO FLEX ATOX 6,0MM PRETO 450/750V MAXFIO METRO (BOBINA);M;3.1864;3.08;2.3;0.0;0.019;5.399
F275B;CEL-FLEX 6,0MM;CABO ELETRICO FLEX ATOX 6,0MM VERDE 450/750V MAXFIO METRO (BOBINA);M;3.1864;4.8;2.236;0.0;0.0133;7.0493
F275B;CEL-FLEX 6,0MM;CABO ELETRICO FLEX ATOX 6,0MM VERDE 450/750V MAXFIO METRO (BOBINA);M;3.1864;2.97;2.35;0.0;0.019;5.339
F275B;CEL-FLEX 6,0MM;CABO ELETRICO FLEX ATOX 6,0MM VERDE 450/750V MAXFIO METRO (BOBINA);M;3.1864;3.08;2.3;0.0;0.019;5.399
2732;CEL-FLEX 6,0MM;CABO ELETRICO FLEX 6,0MM MARROM MAXFIO 450/750V100M;RL;326.8077;4.8;2.236;0.0;0.0133;7.0493
